You entered a buffer length of 20
0.542666, -0.212938, 1.009629; 0.530349, -0.208289, 1.004849; 0.000000, 0.542666; -0.281298, 0.000000; 0.000000, 1.103417
0.548813, -0.219153, 1.015882; 0.539581, -0.213721, 1.010365; 0.000000, 0.548813; -0.281298, 0.000000; 0.000000, 1.103417
0.554961, -0.219153, 1.022134; 0.547271, -0.216437, 1.016249; 0.000000, 0.554961; -0.281298, 0.000000; 0.000000, 1.103417
0.561109, -0.225367, 1.022134; 0.554190, -0.220902, 1.019191; 0.000000, 0.561109; -0.281298, 0.000000; 0.000000, 1.103417
0.561109, -0.225367, 1.028387; 0.557649, -0.223135, 1.023788; 0.000000, 0.561109; -0.281298, 0.000000; 0.000000, 1.103417
0.567257, -0.231582, 1.034639; 0.562453, -0.227358, 1.029213; 0.000000, 0.567257; -0.281298, 0.000000; 0.000000, 1.103417
0.573405, -0.237796, 1.047144; 0.567929, -0.232577, 1.038178; 0.000000, 0.573405; -0.281298, 0.000000; 0.000000, 1.103417
0.579552, -0.231582, 1.040892; 0.573740, -0.232079, 1.039535; 0.000000, 0.579552; -0.281298, 0.000000; 0.000000, 1.103417
0.585700, -0.237796, 1.040892; 0.579720, -0.234938, 1.040213; 0.000000, 0.585700; -0.281298, 0.000000; 0.000000, 1.103417
0.585700, -0.231582, 1.034639; 0.582710, -0.233260, 1.037425; 0.000000, 0.585700; -0.281298, 0.000000; 0.000000, 1.103417
0.585700, -0.244011, 1.034639; 0.584205, -0.238635, 1.036032; 0.000000, 0.585700; -0.281298, 0.000000; 0.000000, 1.103417
0.585700, -0.262654, 1.034639; 0.584952, -0.250645, 1.035335; 0.000000, 0.585700; -0.281298, 0.000000; 0.000000, 1.103417
0.591848, -0.275083, 1.034639; 0.588400, -0.262864, 1.034987; 0.000000, 0.591848; -0.281298, 0.000000; 0.000000, 1.103417
0.579552, -0.293727, 1.034639; 0.583976, -0.278295, 1.034812; 0.000000, 0.591848; -0.293727, 0.000000; 0.000000, 1.103417
0.567257, -0.312370, 1.034639; 0.575616, -0.295332, 1.034725; 0.000000, 0.591848; -0.312370, 0.000000; 0.000000, 1.103417
0.554961, -0.324799, 1.040892; 0.565288, -0.310065, 1.037808; 0.000000, 0.591848; -0.324799, 0.000000; 0.000000, 1.103417
0.548813, -0.337228, 1.034639; 0.557051, -0.323647, 1.036223; 0.000000, 0.591848; -0.337228, 0.000000; 0.000000, 1.103417
0.542666, -0.337228, 1.028387; 0.549858, -0.330437, 1.032304; 0.000000, 0.591848; -0.337228, 0.000000; 0.000000, 1.103417
0.536518, -0.331013, 1.022134; 0.543188, -0.330725, 1.027219; 0.000000, 0.591848; -0.337228, 0.000000; 0.000000, 1.103417
0.542666, -0.324799, 1.022134; 0.542926, -0.327762, 1.024676; 0.000000, 0.591848; -0.337228, 0.000000; 0.000000, 1.103417
0.542666, -0.312370, 1.015882; 0.542796, -0.320066, 1.020278; 0.000000, 0.591848; -0.337228, 0.000000; 0.000000, 1.103417
0.548813, -0.312370, 1.009629; 0.545804, -0.316218, 1.014953; 0.000000, 0.591848; -0.337228, 0.000000; 0.000000, 1.103417
0.561109, -0.312370, 1.009629; 0.553456, -0.314294, 1.012291; 0.000000, 0.591848; -0.337228, 0.000000; 0.000000, 1.103417
0.573405, -0.306155, 1.009629; 0.563430, -0.310224, 1.010959; 0.000000, 0.591848; -0.337228, 0.000000; 0.000000, 1.103417
0.585700, -0.299941, 1.003376; 0.574565, -0.305083, 1.007167; 0.000000, 0.591848; -0.337228, 0.000000; 0.000000, 1.103417
0.604144, -0.299941, 1.003376; 0.589354, -0.302512, 1.005271; 0.000000, 0.604144; -0.337228, 0.000000; 0.000000, 1.103417
0.622587, -0.299941, 1.003376; 0.605970, -0.301226, 1.004323; 0.000000, 0.622587; -0.337228, 0.000000; 0.000000, 1.103417
0.634883, -0.293727, 1.009629; 0.620426, -0.297476, 1.006976; 0.000000, 0.634883; -0.337228, 0.000000; 0.000000, 1.103417
0.653326, -0.293727, 1.015882; 0.636876, -0.295601, 1.011428; 0.000000, 0.653326; -0.337228, 0.000000; 0.000000, 1.103417
0.677917, -0.287512, 1.028387; 0.657396, -0.291557, 1.019907; 0.000000, 0.677917; -0.337228, 0.000000; 0.000000, 1.103417
0.696360, -0.281298, 1.040892; 0.676878, -0.286427, 1.030399; 0.000000, 0.696360; -0.337228, 0.000000; 0.000000, 1.103417
0.714804, -0.281298, 1.047144; 0.695841, -0.283862, 1.038771; 0.000000, 0.714804; -0.337228, 0.000000; 0.000000, 1.103417
0.739395, -0.287512, 1.053397; 0.717618, -0.285687, 1.046083; 0.000000, 0.739395; -0.337228, 0.000000; 0.000000, 1.103417
0.745543, -0.287512, 1.059649; 0.731580, -0.286599, 1.052866; 0.000000, 0.745543; -0.337228, 0.000000; 0.000000, 1.103417
0.757838, -0.293727, 1.059649; 0.744709, -0.290163, 1.056257; 0.000000, 0.757838; -0.337228, 0.000000; 0.000000, 1.103417
0.776282, -0.306155, 1.059649; 0.760495, -0.298159, 1.057953; 0.000000, 0.776282; -0.337228, 0.000000; 0.000000, 1.103417
0.788577, -0.312370, 1.053397; 0.774536, -0.305264, 1.055674; 0.000000, 0.788577; -0.337228, 0.000000; 0.000000, 1.103417
0.800873, -0.318584, 1.059649; 0.787704, -0.311924, 1.057661; 0.000000, 0.800873; -0.337228, 0.000000; 0.000000, 1.103417
0.813169, -0.324799, 1.059649; 0.800436, -0.318361, 1.058655; 0.000000, 0.813169; -0.337228, 0.000000; 0.000000, 1.103417
0.825464, -0.337228, 1.059649; 0.812950, -0.327794, 1.059151; 0.000000, 0.825464; -0.337228, 0.000000; 0.000000, 1.103417
0.837760, -0.349657, 1.065902; 0.825355, -0.338725, 1.062526; 0.000000, 0.837760; -0.349657, 0.000000; 0.000000, 1.103417
